,location,total_sqft,bath,price,bhk
2081,Electronic City,1070.0,2.0,60.0,2.0
2082,Electronic City,1400.0,2.0,40.44,3.0
2083,Electronic City,1190.0,2.0,42.0,2.0
2084,Electronic City,880.0,2.0,19.0,2.0
2085,Electronic City,1150.0,2.0,38.08,2.0
2086,Electronic City,1615.0,3.0,97.0,3.0
2087,Electronic City,1165.0,2.0,33.65,2.0
2088,Electronic City,1221.0,2.0,68.0,2.0
2089,Electronic City,970.0,2.0,35.0,2.0
2090,Electronic City,1500.0,3.0,73.0,3.0
2091,Electronic City,995.0,2.0,48.0,2.0
2092,Electronic City,1342.0,2.0,90.0,2.0
2093,Electronic City,1320.0,2.0,38.12,3.0
2094,Electronic City,1128.0,2.0,63.5,2.0
2095,Electronic City,589.0,1.0,29.0,1.0
2096,Electronic City,1125.0,2.0,28.13,2.0
2097,Electronic City,825.0,2.0,30.0,2.0
2098,Electronic City,1575.0,3.0,94.5,3.0
2099,Electronic City,1070.0,2.0,48.0,2.0
2100,Electronic City,1025.0,2.0,54.0,2.0
2101,Electronic City,1500.0,2.0,70.0,3.0
2102,Electronic City,1500.0,2.0,64.5,3.0
2103,Electronic City,1140.0,2.0,32.93,2.0
2104,Electronic City,2093.0,4.0,134.0,4.0
2105,Electronic City,750.0,2.0,19.5,2.0
2106,Electronic City,1355.0,2.0,73.0,2.0
2107,Electronic City,1360.0,2.0,64.99,3.0
2108,Electronic City,1060.0,2.0,52.0,2.0
2109,Electronic City Phase II,1056.0,2.0,39.07,2.0
2110,Electronic City Phase II,1020.0,2.0,30.6,2.0
2111,Electronic City Phase II,1069.0,2.0,45.0,2.0
2112,Electronic City Phase II,630.0,1.0,28.35,1.0
2113,Electronic City Phase II,1220.0,2.0,35.23,3.0
2114,Electronic City Phase II,1000.0,2.0,25.0,2.0
2115,Electronic City Phase II,1090.0,2.0,28.34,2.0
2116,Electronic City Phase II,2225.0,4.0,98.88,4.0
2117,Electronic City Phase II,1400.0,2.0,40.43,3.0
2118,Electronic City Phase II,775.0,2.0,38.0,2.0
2119,Electronic City Phase II,1266.0,2.0,59.0,2.0
2120,Electronic City Phase II,1000.0,2.0,28.88,2.0
2121,Electronic City Phase II,1320.0,2.0,38.13,3.0
2122,Electronic City Phase II,1220.0,3.0,35.23,3.0
2123,Electronic City Phase II,972.0,2.0,44.0,2.0
2124,Electronic City Phase II,1400.0,2.0,40.43,3.0
2125,Electronic City Phase II,1031.0,2.0,55.0,2.0
2126,Electronic City Phase II,1003.0,2.0,40.6,2.0
2127,Electronic City Phase II,1031.0,2.0,56.35,2.0
2128,Electronic City Phase II,1320.0,2.0,38.12,3.0
2129,Electronic City Phase II,1395.0,2.0,62.78,3.0
2130,Electronic City Phase II,1160.0,2.0,33.5,2.0
2131,Electronic City Phase II,1065.0,2.0,30.75,2.0
2132,Electronic City Phase II,1219.0,2.0,61.25,2.0
2133,Electronic City Phase II,1400.0,2.0,41.58,3.0
2134,Electronic City Phase II,1000.0,2.0,28.88,2.0
2135,Electronic City Phase II,1790.0,3.0,100.0,3.0
2136,Electronic City Phase II,769.0,2.0,40.0,2.0
2137,Electronic City Phase II,1400.0,2.0,40.43,3.0
2138,Electronic City Phase II,900.0,2.0,32.5,2.0
2139,Electronic City Phase II,1329.0,2.0,41.0,3.0
2140,Electronic City Phase II,1220.0,3.0,35.23,3.0
2141,Electronic City Phase II,993.0,2.0,50.0,3.0
2142,Electronic City Phase II,1418.0,3.0,52.47,3.0
2143,Electronic City Phase II,1070.0,2.0,45.0,2.0
2144,Electronic City Phase II,1310.0,2.0,32.75,3.0
2145,Electronic City Phase II,1310.0,2.0,37.83,3.0
2146,Electronic City Phase II,1140.0,2.0,33.06,2.0
2147,Electronic City Phase II,1089.0,2.0,32.67,2.0
2148,Electronic City Phase II,1031.0,2.0,55.0,2.0
2149,Electronic City Phase II,1253.0,2.0,65.8,2.0
2150,Electronic City Phase II,1400.0,2.0,40.44,3.0
2151,Electronic City Phase II,1160.0,2.0,33.5,2.0
2152,Electronic City Phase II,975.0,2.0,45.0,3.0
2153,Electronic City Phase II,6000.0,4.0,260.0,4.0
2154,Electronic City Phase II,1116.0,2.0,37.0,2.0
2155,Electronic City Phase II,1125.0,2.0,29.25,2.0
2156,Electronic City Phase II,1000.0,2.0,28.88,2.0
2157,Electronic City Phase II,1000.0,2.0,28.88,2.0
2158,Electronic City Phase II,1000.0,2.0,28.88,2.0
2159,Electronic City Phase II,1165.0,2.0,30.29,2.0
2161,Electronic City Phase II,1031.0,2.0,53.0,2.0
2162,Electronic City Phase II,1611.0,2.0,48.33,3.0
2163,Electronic City Phase II,1065.0,2.0,30.88,2.0
2164,Electronic City Phase II,1220.0,3.0,36.6,3.0
2165,Electronic City Phase II,1549.0,3.0,80.0,3.0
2166,Electronic City Phase II,1065.0,2.0,56.13,2.0
2167,Electronic City Phase II,1320.0,2.0,38.13,3.0
2168,Electronic City Phase II,920.0,2.0,26.0,2.0
2169,Electronic City Phase II,1140.0,2.0,33.84,2.0
2170,Electronic City Phase II,1219.0,2.0,61.26,2.0
2171,Electronic City Phase II,1252.0,2.0,65.0,3.0
2172,Electronic City Phase II,1125.0,2.0,32.49,2.0
2173,Electronic City Phase II,1310.0,2.0,37.83,3.0
2174,Electronic City Phase II,1286.0,2.0,69.0,2.0
2175,Electronic City Phase II,1220.0,2.0,36.21,3.0
2176,Electronic City Phase II,1140.0,2.0,32.92,2.0
2177,Electronic City Phase II,1116.0,2.0,40.0,2.0
2178,Electronic City Phase II,1150.0,3.0,46.0,3.0
2179,Electronic City Phase II,1192.0,2.0,47.0,3.0
2180,Electronic City Phase II,1502.0,3.0,50.0,3.0
2181,Electronic City Phase II,1020.0,2.0,32.0,2.0
2182,Electronic City Phase II,1900.0,3.0,97.0,4.0
2183,Electronic City Phase II,1020.0,2.0,27.43,2.0
2184,Electronic City Phase II,1025.0,2.0,26.65,2.0
2185,Electronic City Phase II,1020.0,2.0,29.45,2.0
2186,Electronic City Phase II,1000.0,2.0,28.88,2.0
2187,Electronic City Phase II,1310.0,2.0,37.84,3.0
2188,Electronic City Phase II,1140.0,2.0,28.5,2.0
2189,Electronic City Phase II,1125.0,2.0,32.49,2.0
2190,Electronic City Phase II,1200.0,2.0,34.65,2.0
2191,Electronic City Phase II,1160.0,2.0,52.2,2.0
2192,Electronic City Phase II,1244.0,2.0,55.0,2.0
2193,Electronic City Phase II,1160.0,2.0,33.51,2.0
2194,Electronic City Phase II,1220.0,3.0,35.25,3.0
2195,Electronic City Phase II,1625.0,2.0,48.75,3.0
2196,Electronic City Phase II,972.0,2.0,40.0,2.0
2197,Electronic City Phase II,1160.0,2.0,33.51,2.0
2198,Electronic City Phase II,1400.0,2.0,40.45,3.0
2199,Electronic City Phase II,1090.0,2.0,31.48,2.0
2200,Electronic City Phase II,1140.0,2.0,32.92,2.0
2201,Electronic City Phase II,650.0,1.0,35.0,1.0
2202,Electronic City Phase II,1155.0,2.0,57.0,2.0
2203,Electronic City Phase II,1800.0,3.0,92.0,3.0
2204,Electronic City Phase II,1300.0,2.0,28.0,2.0
2205,Electronic City Phase II,1160.0,2.0,33.5,2.0
2206,Electronic City Phase II,1025.0,2.0,29.6,2.0
2207,Electronic City Phase II,829.0,2.0,22.8,2.0
2208,Electronic City Phase II,2187.5,4.0,105.0,4.0
2209,Electronic City Phase II,1252.0,2.0,67.0,2.0
2210,Electronic City Phase II,1320.0,2.0,38.12,3.0
2211,Electronic City Phase II,1125.0,2.0,32.63,2.0
2212,Electronic City Phase II,1140.0,2.0,34.0,2.0
2213,Electronic City Phase II,1310.0,2.0,37.84,3.0
2214,Electronic City Phase II,1400.0,2.0,40.43,3.0
2215,Electronic City Phase II,1252.0,2.0,65.0,3.0
2216,Electronic City Phase II,1135.0,2.0,46.0,2.0
2217,Electronic City Phase II,1305.0,3.0,65.0,3.0
2218,Electronic City Phase II,1165.0,2.0,33.64,2.0
2219,Electronic City Phase II,1400.0,2.0,40.44,3.0
2220,Electronic City Phase II,1336.0,2.0,50.35,3.0
2221,Electronic City Phase II,575.0,1.0,16.75,1.0
2222,Electronic City Phase II,925.0,2.0,49.82,3.0
2223,Electronic City Phase II,1065.0,2.0,30.76,2.0
2224,Electronic City Phase II,1065.0,2.0,30.75,2.0
2225,Electronic City Phase II,1140.0,2.0,33.06,2.0
2226,Electronic City Phase II,911.0,2.0,26.5,2.0
2227,Electronic City Phase II,1200.0,2.0,34.65,2.0
2228,Electronic City Phase II,1031.0,2.0,54.48,2.0
2229,Electronic City Phase II,1310.0,2.0,37.83,3.0
2230,Electronic City Phase II,1651.0,3.0,49.53,3.0
2231,Electronics City Phase 1,1070.0,2.0,45.5,2.0
2232,Electronics City Phase 1,1475.0,3.0,78.29,3.0
2233,Electronics City Phase 1,1490.0,3.0,78.8,3.0
2234,Electronics City Phase 1,1113.27,2.0,53.0,2.0
2235,Electronics City Phase 1,1490.0,3.0,84.0,3.0
2236,Electronics City Phase 1,1175.0,2.0,51.47,2.0
2237,Electronics City Phase 1,1160.0,2.0,52.0,2.0
2238,Electronics City Phase 1,920.0,2.0,33.0,2.0
2239,Electronics City Phase 1,1750.0,3.0,84.0,3.0
2240,Electronics City Phase 1,1350.0,3.0,55.0,3.0
2241,Electronics City Phase 1,940.0,2.0,40.0,2.0
2242,Electronics City Phase 1,1015.0,2.0,56.0,2.0
2243,Electronics City Phase 1,1595.0,3.0,75.0,3.0
2244,Electronics City Phase 1,1515.0,2.0,80.91,3.0
2245,Electronics City Phase 1,995.0,2.0,46.0,2.0
2246,Electronics City Phase 1,1555.0,2.0,82.0,3.0
2247,Electronics City Phase 1,1340.0,2.0,75.0,2.0
2248,Electronics City Phase 1,1124.0,2.0,55.0,3.0
2249,Electronics City Phase 1,1175.0,2.0,57.0,2.0
2250,Electronics City Phase 1,755.0,1.0,42.41,1.0
2251,Electronics City Phase 1,580.0,1.0,27.0,1.0
2252,Electronics City Phase 1,940.0,2.0,49.0,2.0
2253,Electronics City Phase 1,1335.0,2.0,67.0,2.0
2254,Electronics City Phase 1,1113.12,2.0,55.0,2.0
2255,Electronics City Phase 1,995.0,2.0,42.0,2.0
2256,Electronics City Phase 1,1350.0,3.0,71.0,3.0
2257,Electronics City Phase 1,1445.0,2.0,56.0,3.0
2258,Electronics City Phase 1,995.0,2.0,49.8,2.0
2259,Electronics City Phase 1,635.0,1.0,26.0,1.0
2260,Electronics City Phase 1,1190.0,2.0,68.0,2.0
2261,Electronics City Phase 1,1085.0,2.0,46.0,2.0
2262,Electronics City Phase 1,1450.0,3.0,72.54,3.0
2263,Electronics City Phase 1,360.0,1.0,16.9,1.0
2264,Electronics City Phase 1,638.0,1.0,32.0,1.0
2265,Electronics City Phase 1,1175.0,2.0,64.98,2.0
2266,Electronics City Phase 1,585.0,1.0,21.0,1.0
2267,Electronics City Phase 1,1200.0,2.0,59.76,2.0
2268,Electronics City Phase 1,1145.0,2.0,54.0,2.0
2269,Electronics City Phase 1,1125.0,2.0,65.0,2.0
2271,Electronics City Phase 1,1550.0,2.0,82.0,3.0
2272,Electronics City Phase 1,1175.0,2.0,50.0,2.0
2273,Electronics City Phase 1,865.0,2.0,40.0,2.0
2274,Electronics City Phase 1,1450.0,3.0,70.0,3.0
2275,Electronics City Phase 1,1450.0,2.0,63.51,3.0
2276,Electronics City Phase 1,1450.0,3.0,58.0,3.0
2277,Electronics City Phase 1,1800.0,3.0,93.0,3.0
2278,Electronics City Phase 1,1314.0,2.0,60.0,2.0
2279,Electronics City Phase 1,1170.0,2.0,62.0,2.0
2280,Electronics City Phase 1,1450.0,3.0,79.0,3.0
2281,Electronics City Phase 1,940.0,2.0,48.0,2.0
2282,Electronics City Phase 1,940.0,2.0,44.0,2.0
2283,Electronics City Phase 1,1300.0,2.0,67.0,2.0
2284,Electronics City Phase 1,1028.0,2.0,51.0,2.0
2285,Electronics City Phase 1,1080.0,2.0,46.0,2.0
2286,Electronics City Phase 1,1205.0,2.0,60.0,2.0
2287,Electronics City Phase 1,1900.0,3.0,85.0,3.0
2288,Electronics City Phase 1,1305.0,2.0,67.0,2.0
2289,Electronics City Phase 1,755.0,1.0,30.12,1.0
2290,Electronics City Phase 1,1175.0,2.0,60.0,2.0
2291,Frazer Town,1700.0,3.0,180.0,3.0
2292,Frazer Town,1305.0,3.0,95.45,3.0
2293,Frazer Town,1870.0,3.0,185.0,3.0
2294,Frazer Town,1750.0,3.0,150.0,3.0
2295,Frazer Town,4850.0,6.0,385.0,4.0
2296,Frazer Town,2000.0,3.0,200.0,3.0
2297,Frazer Town,3500.0,4.0,330.0,3.0
2298,Frazer Town,2350.0,4.0,285.0,3.0
2299,Frazer Town,1550.0,2.0,140.0,2.0
2300,Frazer Town,1900.0,4.0,145.0,3.0
2301,Frazer Town,2560.0,3.0,265.0,3.0
2302,Frazer Town,2400.0,3.0,260.0,3.0
2303,Frazer Town,2560.0,3.0,288.0,3.0
2304,Frazer Town,3436.0,5.0,341.0,4.0
2305,Frazer Town,4856.0,5.0,410.0,4.0
2306,Frazer Town,1315.0,2.0,140.0,2.0
2307,Frazer Town,1706.0,3.0,154.0,3.0
2308,Frazer Town,2079.0,3.0,220.0,3.0
2309,Frazer Town,3435.0,2.0,341.0,4.0
2310,Frazer Town,3436.0,5.0,345.0,4.0
2311,Frazer Town,3100.0,3.0,400.0,3.0
2312,Frazer Town,5400.0,3.0,400.0,3.0
2313,Frazer Town,1180.0,2.0,105.0,2.0
2314,Frazer Town,2900.0,4.0,325.0,4.0
2315,Frazer Town,1870.0,3.0,180.0,3.0
2316,Frazer Town,896.0,1.0,100.0,1.0
2317,Frazer Town,1420.0,2.0,120.0,2.0
2318,GM Palaya,1820.0,2.0,86.0,3.0
2319,GM Palaya,1225.0,2.0,47.0,2.0
2320,GM Palaya,1140.0,2.0,48.95,2.0
2321,GM Palaya,1315.0,2.0,65.0,3.0
2322,GM Palaya,1315.0,3.0,65.0,3.0
2323,GM Palaya,1315.0,3.0,64.0,3.0
2324,GM Palaya,1735.0,3.0,70.0,3.0
2325,GM Palaya,1643.0,2.0,70.0,3.0
2326,Garudachar Palya,1325.0,2.0,60.8,3.0
2327,Garudachar Palya,1060.0,2.0,48.7,2.0
2328,Garudachar Palya,1150.0,2.0,52.75,2.0
2329,Garudachar Palya,1295.0,2.0,59.5,3.0
2330,Garudachar Palya,1320.0,2.0,60.6,3.0
2331,Garudachar Palya,1295.0,2.0,59.5,3.0
2332,Garudachar Palya,1150.0,2.0,52.8,2.0
2333,Garudachar Palya,1150.0,2.0,52.8,2.0
2334,Garudachar Palya,1060.0,2.0,48.5,2.0
2335,Garudachar Palya,1150.0,2.0,52.5,2.0
2336,Garudachar Palya,1325.0,2.0,60.8,3.0
2337,Garudachar Palya,1060.0,2.0,48.66,2.0
2338,Garudachar Palya,1150.0,2.0,52.0,2.0
2339,Garudachar Palya,1154.0,2.0,51.8,2.0
2340,Garudachar Palya,1325.0,2.0,60.0,3.0
2341,Giri Nagar,2400.0,4.0,400.0,4.0
2342,Giri Nagar,1800.0,3.0,252.0,3.0
2343,Giri Nagar,1350.0,3.0,240.0,3.0
2344,Giri Nagar,2400.0,4.0,400.0,4.0
2345,Giri Nagar,3000.0,4.0,375.0,6.0
2346,Giri Nagar,2400.0,6.0,400.0,6.0
2347,Giri Nagar,4000.0,3.0,750.0,4.0
2348,Gollarapalya Hosahalli,861.0,2.0,34.5,2.0
2349,Gollarapalya Hosahalli,1408.0,3.0,62.0,3.0
2350,Gollarapalya Hosahalli,861.0,2.0,34.5,2.0
2351,Gollarapalya Hosahalli,1318.0,3.0,54.0,3.0
2352,Gollarapalya Hosahalli,861.0,2.0,36.5,2.0
2353,Gollarapalya Hosahalli,1320.0,3.0,60.0,3.0
2354,Gollarapalya Hosahalli,1345.0,3.0,60.0,3.0
2355,Gollarapalya Hosahalli,1905.0,3.0,86.0,4.0
2356,Gollarapalya Hosahalli,1318.0,3.0,56.0,3.0
2357,Gollarapalya Hosahalli,1129.0,2.0,50.0,2.0
2358,Gottigere,1100.0,2.0,40.0,2.0
2359,Gottigere,967.0,2.0,45.0,2.0
2360,Gottigere,1618.0,3.0,82.5,3.0
2361,Gottigere,1222.0,2.0,63.0,2.0
2362,Gottigere,1600.0,2.0,55.0,3.0
2363,Gottigere,1300.0,3.0,65.0,3.0
2364,Gottigere,950.0,2.0,38.0,2.0
2365,Gottigere,1153.0,2.0,48.5,2.0
2366,Gottigere,812.0,1.0,26.0,1.0
2367,Gottigere,2000.0,4.0,82.0,4.0
2368,Gottigere,1460.0,2.0,65.0,3.0
2369,Gottigere,1500.0,3.0,70.0,3.0
2370,Gottigere,1621.0,3.0,72.0,3.0
2371,Gottigere,812.0,1.0,26.0,1.0
2372,Gottigere,990.0,2.0,40.0,2.0
2373,Gottigere,1235.0,2.0,63.0,2.0
2374,Gottigere,1385.0,3.0,64.0,3.0
2375,Gottigere,1000.0,2.0,35.0,2.0
2376,Gottigere,1010.0,2.0,35.0,2.0
2377,Gottigere,1385.0,2.0,50.0,3.0
2378,Gottigere,1410.0,2.0,45.0,2.0
2379,Gottigere,1425.0,2.0,47.0,3.0
2380,Gottigere,1435.0,2.0,62.0,3.0
2381,Gottigere,945.0,2.0,45.0,2.0
2382,Gottigere,1400.0,2.0,50.0,3.0
2383,Gottigere,2500.0,3.0,120.0,4.0
2384,Gottigere,1230.0,2.0,52.0,3.0
2385,Gottigere,1120.0,2.0,50.0,2.0
2386,Gottigere,1500.0,3.0,63.0,3.0
2387,Gottigere,1200.0,2.0,40.0,2.0
2388,Gottigere,1280.0,2.0,61.0,2.0
2389,Gottigere,1205.0,2.0,56.58,2.0
2390,Gottigere,1170.0,2.0,40.0,2.0
2391,Gottigere,3000.0,3.0,132.0,4.0
2392,Gottigere,1613.0,3.0,72.0,3.0
2393,Gottigere,1110.0,2.0,36.25,2.0
2394,Gottigere,1245.0,2.0,59.0,2.0
2395,Gottigere,1200.0,2.0,50.0,2.0
2396,Green Glen Layout,1670.0,3.0,120.0,3.0
2397,Green Glen Layout,3250.0,4.0,230.0,4.0
2398,Green Glen Layout,1776.42,3.0,105.0,3.0
2399,Green Glen Layout,3250.0,4.0,230.0,4.0
2400,Green Glen Layout,940.0,2.0,56.8,2.0
2401,Green Glen Layout,1075.0,2.0,60.0,2.0
2402,Green Glen Layout,1715.0,3.0,115.0,3.0
2403,Green Glen Layout,1751.0,2.0,115.0,3.0
2404,Green Glen Layout,1750.0,3.0,130.0,3.0
2405,Green Glen Layout,1530.0,3.0,105.0,3.0
2406,Green Glen Layout,1752.0,3.0,105.0,3.0
2407,Green Glen Layout,1680.0,4.0,95.0,3.0
2408,Green Glen Layout,1728.0,3.0,125.0,3.0
2409,Green Glen Layout,1645.0,3.0,110.0,3.0
2410,Green Glen Layout,1517.0,3.0,100.0,3.0
2411,Green Glen Layout,3150.0,4.0,218.0,4.0
2412,Green Glen Layout,3270.0,4.0,205.0,4.0
2413,Green Glen Layout,1750.0,3.0,120.0,3.0
2414,Green Glen Layout,1751.0,3.0,115.0,3.0
2415,Green Glen Layout,1750.0,3.0,105.0,3.0
2416,Green Glen Layout,1885.0,3.0,135.0,3.0
2417,Green Glen Layout,1715.0,3.0,120.0,3.0
2418,Green Glen Layout,1623.29,2.0,105.0,3.0
2419,Green Glen Layout,1715.0,3.0,115.0,3.0
2420,Green Glen Layout,1715.0,3.0,105.0,3.0
2421,Green Glen Layout,1600.0,3.0,105.0,3.0
2422,Green Glen Layout,1717.0,3.0,125.0,3.0
2423,Green Glen Layout,1250.0,2.0,75.0,2.0
2424,Green Glen Layout,1715.0,3.0,112.0,3.0
2425,Gubbalala,1470.0,2.0,82.0,3.0
2426,Gubbalala,1745.0,3.0,104.0,3.0
2427,Gubbalala,1745.0,3.0,115.0,3.0
2428,Gubbalala,1745.0,3.0,110.0,3.0
2429,Gubbalala,1650.0,3.0,71.0,3.0
2430,Gubbalala,2570.0,4.0,141.0,5.0
2431,Gubbalala,1205.0,2.0,70.0,2.0
2432,Gubbalala,1435.0,2.0,80.0,3.0
2433,Gubbalala,1475.0,2.0,80.0,2.0
2434,Gubbalala,2000.0,4.0,85.0,4.0
2435,Gubbalala,1100.0,2.0,49.5,2.0
2436,Gubbalala,1060.0,2.0,46.0,2.0
2437,Gubbalala,2000.0,3.0,125.0,3.0
2438,Gubbalala,4000.0,5.0,195.0,4.0
2439,Gunjur,1140.0,2.0,43.0,2.0
2440,Gunjur,1356.0,2.0,66.0,3.0
2441,Gunjur,1600.0,3.0,75.0,3.0
2442,Gunjur,2000.0,3.0,95.0,4.0
2443,Gunjur,1140.0,2.0,49.11,2.0
2444,Gunjur,1195.0,2.0,44.0,2.0
2445,Gunjur,1190.0,2.0,40.0,2.0
2446,Gunjur,1457.0,2.0,60.0,2.0
2447,Gunjur,1080.0,2.0,41.0,2.0
2448,Gunjur,2132.0,3.0,80.0,3.0
2449,Gunjur,1800.0,3.0,70.0,3.0
2450,Gunjur,1175.0,2.0,43.48,2.0
2451,Gunjur,1362.0,3.0,62.63,3.0
2452,Gunjur,1071.0,2.0,51.0,2.0
2453,Gunjur,1063.0,2.0,40.0,2.0
2454,Gunjur,1235.0,2.0,52.76,2.0
2455,Gunjur,1362.0,3.0,62.63,3.0
2456,Gunjur,1362.0,3.0,62.63,3.0
2457,Gunjur,1588.0,2.0,90.0,3.0
2458,Gunjur,1235.0,2.0,44.5,2.0
2459,Gunjur,1457.0,2.0,60.0,2.0
2460,HAL 2nd Stage,1490.0,2.0,300.0,3.0
2461,HAL 2nd Stage,2100.0,3.0,252.0,3.0
2462,HAL 2nd Stage,2700.0,3.0,500.0,3.0
2463,HAL 2nd Stage,2040.0,4.0,500.0,5.0
2464,HBR Layout,2800.0,2.0,200.0,3.0
2465,HBR Layout,1722.0,3.0,95.0,3.0
2466,HBR Layout,1200.0,2.0,60.0,2.0
2467,HBR Layout,1004.0,2.0,49.0,2.0
2468,HBR Layout,1783.0,3.0,125.0,3.0
2469,HBR Layout,1656.0,3.0,90.0,3.0
2470,HBR Layout,1089.0,2.0,60.0,2.0
2471,HBR Layout,1700.0,3.0,110.0,3.0
2472,HBR Layout,1198.0,2.0,65.0,2.0
2473,HBR Layout,1200.0,2.0,120.0,2.0
2474,HBR Layout,1832.0,3.0,160.0,3.0
2475,HRBR Layout,1374.0,2.0,95.0,2.0
2476,HRBR Layout,1440.0,2.0,98.0,2.0
2477,HRBR Layout,1567.0,3.0,90.0,3.0
2478,HRBR Layout,2800.0,3.0,250.0,3.0
2479,HRBR Layout,1210.0,2.0,75.0,2.0
2480,HRBR Layout,1265.0,2.0,78.0,2.0
2481,HRBR Layout,1170.0,2.0,75.0,2.0
2482,HRBR Layout,1335.0,2.0,87.0,3.0
2483,HRBR Layout,1900.0,3.0,90.0,4.0
2484,HRBR Layout,1625.0,3.0,120.0,3.0
2485,HRBR Layout,1301.0,2.0,120.0,2.0
2486,HRBR Layout,1145.0,2.0,68.5,2.0
2487,HRBR Layout,1300.0,2.0,90.0,2.0
2488,HSR Layout,1400.0,3.0,56.0,3.0
2489,HSR Layout,1372.0,2.0,68.0,2.0
2490,HSR Layout,1430.0,2.0,65.0,3.0
2491,HSR Layout,1475.0,3.0,75.0,3.0
2492,HSR Layout,1467.0,2.0,55.0,2.0
2493,HSR Layout,1140.0,2.0,46.0,2.0
2494,HSR Layout,1372.0,2.0,61.0,2.0
2495,HSR Layout,1750.0,3.0,95.0,3.0
2496,HSR Layout,2424.0,3.0,90.0,3.0
2497,HSR Layout,1027.0,2.0,44.0,2.0
2498,HSR Layout,1650.0,3.0,110.0,3.0
2499,HSR Layout,1140.0,2.0,46.0,2.0
2500,HSR Layout,1372.0,2.0,61.0,2.0
2501,HSR Layout,1140.0,2.0,46.0,2.0
2502,HSR Layout,1185.0,2.0,60.0,2.0
2503,HSR Layout,1127.0,2.0,68.0,2.0
2504,HSR Layout,1600.0,2.0,115.0,3.0
2505,HSR Layout,1145.0,2.0,48.0,2.0
2506,HSR Layout,1009.0,2.0,56.0,2.0
2507,HSR Layout,1300.0,2.0,98.0,2.0
2508,HSR Layout,2400.0,3.0,88.0,3.0
2509,HSR Layout,1140.0,2.0,46.0,2.0
2510,HSR Layout,1126.0,2.0,69.0,2.0
2511,HSR Layout,1360.0,2.0,53.0,3.0
2512,HSR Layout,1140.0,2.0,46.0,2.0
2513,HSR Layout,1145.0,2.0,46.0,2.0
2514,HSR Layout,1142.0,2.0,65.0,2.0
2515,HSR Layout,1145.0,2.0,46.0,2.0
2516,HSR Layout,1844.0,3.0,95.0,3.0
2517,HSR Layout,1203.0,2.0,72.0,2.0
2518,HSR Layout,1140.0,2.0,46.0,2.0
2519,HSR Layout,4200.0,5.0,245.0,5.0
2520,HSR Layout,1140.0,2.0,46.0,2.0
2521,HSR Layout,1145.0,2.0,46.0,2.0
2522,HSR Layout,1009.0,2.0,56.0,2.0
2523,HSR Layout,1145.0,2.0,46.0,2.0
2524,HSR Layout,1100.0,2.0,44.0,2.0
2525,HSR Layout,1203.0,2.0,60.0,2.0
2526,HSR Layout,1120.0,2.0,70.0,2.0
2527,HSR Layout,1140.0,2.0,46.0,2.0
2528,HSR Layout,1289.0,2.0,70.0,2.0
2529,HSR Layout,1844.0,3.0,89.0,3.0
2530,HSR Layout,1203.0,2.0,60.0,2.0
2531,HSR Layout,1140.0,2.0,46.0,2.0
2532,Haralur Road,1240.0,2.0,70.0,2.0
2533,Haralur Road,1027.0,2.0,44.0,2.0
2534,Haralur Road,1464.0,3.0,56.0,3.0
2535,Haralur Road,2805.0,5.0,154.0,4.0
2536,Haralur Road,1194.0,2.0,47.0,2.0
2537,Haralur Road,1202.0,2.0,53.0,2.0
2538,Haralur Road,1056.0,2.0,61.0,2.0
2539,Haralur Road,1464.0,3.0,56.0,3.0
2540,Haralur Road,1810.0,3.0,100.0,3.0
2541,Haralur Road,1194.0,2.0,46.0,2.0
2542,Haralur Road,2805.0,4.0,154.0,4.0
2543,Haralur Road,1225.0,2.0,67.38,2.0
2544,Haralur Road,1243.0,2.0,46.0,2.0
2545,Haralur Road,1027.0,2.0,44.0,2.0
2546,Haralur Road,1920.0,3.0,115.0,3.0
2547,Haralur Road,1875.0,3.0,110.0,3.0
2548,Haralur Road,1194.0,2.0,47.0,2.0
2549,Haralur Road,1140.0,2.0,43.0,2.0
2550,Haralur Road,1027.0,2.0,44.0,2.0
2551,Haralur Road,1194.0,2.0,46.0,2.0
2552,Haralur Road,2017.0,3.0,125.0,3.0
2553,Haralur Road,1140.0,2.0,43.0,2.0
2554,Haralur Road,1875.0,3.0,110.0,3.0
2555,Haralur Road,1092.0,2.0,44.0,2.0
2556,Haralur Road,2475.0,4.0,130.0,3.0
2557,Haralur Road,1300.0,2.0,73.0,2.0
2558,Haralur Road,1194.0,2.0,47.0,2.0
2559,Haralur Road,1243.0,2.0,46.0,2.0
2560,Haralur Road,1850.0,3.0,110.0,3.0
2561,Haralur Road,1225.0,2.0,67.38,2.0
2562,Haralur Road,1243.0,2.0,46.0,2.0
2563,Haralur Road,1464.0,2.0,56.0,2.0
2564,Haralur Road,1230.0,2.0,78.0,2.0
2565,Haralur Road,1000.0,2.0,44.0,2.0
2567,Haralur Road,1300.0,2.0,79.0,2.0
2568,Haralur Road,1444.0,2.0,80.0,3.0
2569,Haralur Road,1088.0,2.0,68.0,2.0
2570,Haralur Road,1027.0,2.0,44.0,2.0
2571,Haralur Road,1464.0,3.0,56.0,3.0
2572,Haralur Road,1225.0,2.0,70.0,2.0
2573,Haralur Road,1464.0,3.0,56.0,3.0
2574,Haralur Road,1194.0,2.0,46.0,2.0
2575,Haralur Road,1830.0,3.0,101.0,3.0
2576,Haralur Road,1464.0,2.0,56.0,2.0
